GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.datasource,ConnectionFactory,50,0,2,0,14,0,4,0,3,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.exceptiontemplates,InvalidRequestException,4,4,0,0,2,2,1,1,1,1
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.exceptiontemplates,ResourcePersistenceException,8,0,0,0,4,0,2,0,2,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.exceptiontemplates,AuthenticationException,4,0,0,0,2,0,1,0,1,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.exceptiontemplates,ResourceNotFoundException,8,0,0,0,4,0,2,0,2,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.exceptiontemplates,DataSourceException,10,0,0,0,4,0,2,0,2,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.datainsertion,NewReimbursementInsertion,89,0,0,0,28,0,15,0,15,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.datainsertion,NewUserInsertion,87,0,0,0,28,0,15,0,15,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.services,ReimbursementService,198,0,24,0,42,0,18,0,6,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.services,AuthenticationService,0,50,2,8,0,12,2,5,0,2
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.services,UserService,196,0,34,0,40,0,22,0,5,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.DAOs,ReimbursementDAO,270,0,2,0,79,0,8,0,7,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.DAOs,UserDAO,420,0,8,0,111,0,16,0,12,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.DTOs,UserDTO,149,90,10,10,43,21,27,2,17,2
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.DTOs,CredentialsDTO,11,15,0,0,6,6,3,3,3,3
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.DTOs,ReimbursementDTO,125,0,0,0,41,0,21,0,21,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.DTOs,ResourceCreationDTO,20,0,0,0,9,0,5,0,5,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject,EnterpriseFoundationMain,94,0,0,0,23,0,2,0,2,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject,ErrorReport,42,0,0,0,15,0,8,0,8,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.servlets,UserServlet,312,0,14,0,71,0,12,0,5,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.servlets,AuthenticationServlet,110,0,0,0,28,0,3,0,3,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.servlets,ReimbursementServlet,309,0,26,0,70,0,17,0,4,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.datamodels,Reimbursement,66,0,0,0,28,0,19,0,19,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.datamodels,Status,17,0,0,0,7,0,5,0,5,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.datamodels,User,38,48,0,0,19,17,10,8,10,8
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.datamodels,Type,17,0,0,0,7,0,5,0,5,0
EnterpriseFoundationsProject,ultranomics.enterprisefoundationsproject.datamodels,Role,17,0,0,0,7,0,5,0,5,0
